Date,Time,Sender,Message
,원명,오전 10:54,그냥 알겠다고만 하셔서
,원명,오전 10:54,모르겠네요
,엄마,오전 10:54,알았어 
,원명,오전 10:54,네
,원명,오전 10:55,알려주세요
,엄마,오전 10:55,알써
,엄마,오후 10:18,아들~많이 늦니?
,원명,오후 10:36,12시 정도에 들어 갈 것 같아요
,원명,오후 6:18,스타벅스요
,원명,오후 6:19,치킨 시킬까요??
,엄마,오후 6:19,아니
,원명,오후 6:19,네~~
,엄마,오후 6:19,오늘 이모네랑 감자탕 먹을 예정이야
,엄마,오후 6:20,엄마랑 같이 퇴근 할까?
,원명,오후 6:22,노트북 두고 가야되서
,엄마,오후 6:22,엄마두 집에 가야돼
,엄마,오후 6:23,노트북 때문에 
,엄마,오후 6:46,다음 중계
,원명,오후 6:46,네
,원명,오후 6:15,카페에 있을게요
,원명,오후 6:15,전화 주세요
,원명,오후 6:15,카톡을 못 봐요
,엄마,오후 6:22,알써.
,엄마,오후 6:25,닭한마리 
,엄마,오후 6:25,골라봐
,엄마,오후 6:26,미안 카톡 못본다고 했지ㅠㅠ
,원명,오후 6:27,닭한마리
,원명,오후 6:27,먹어요
,원명,오후 6:27,엄마
,엄마,오후 6:19,어디?
,원명,오후 1:53,사진
,엄마,오후 2:49,아들~점심 먹었어?
,원명,오후 4:01,네 효준이랑 전이랑 고기 먹었어요
,원명,오후 4:02,엄마는 드셨어요??
,엄마,오후 4:02,그럼 먹었지~
,엄마,오후 4:02,부족하진 않았어?
,원명,오후 5:22,네 다 먹고 갔어요😁😁
,엄마,오후 6:19,아들 어디?
,원명,오후 6:38,집이요
,원명,오후 6:38,방금 도착했어요
,원명,오후 7:08,KB증권 32584386401
,엄마,오후 1:37,아들~ 점심은 먹었어?
,원명,오후 2:31,여기서 피자 사줘서
,원명,오후 2:31,못 먹었어요..
,원명,오후 2:31,말을 안해주셔서 몰랐네요
,엄마,오후 2:31,그랬구나~
,원명,오후 2:32,엄마는용??
,엄마,오후 2:32,저녁에 먹으면 되지^^
,원명,오후 2:32,네~~
,엄마,오후 2:32,먹었지 
,엄마,오후 6:30,교육 끝났니?
,엄마,오후 12:33,아들~점심 먹었어?
,원명,오후 2:33,네~~
,엄마,오후 2:34,울 아들 고생이 많네.
,엄마,오후 2:36,힘든 만큼 나중에 더 큰 소득이 될꺼야.
,엄마,오후 2:36,아들~홧팅 (반함)
,원명,오후 6:41,동대문이에요
,원명,오후 6:41,엄마
,엄마,오후 6:43,그래
,엄마,오후 6:44,조심히 와.
,원명,오후 7:04,노원이에요
,원명,오후 6:27,끝났어요
,엄마,오전 12:17,막차 타고 올거야?
,원명,오전 12:17,가고있어요
,원명,오전 12:18,청량리에요
,엄마,오전 12:18,그래~조심히 와.
,엄마,오전 10:24,아들~몸은 어때??
,원명,오전 10:26,괜찮아요
,원명,오전 10:26,지하철에서 멀미 좀 했느데
,원명,오전 10:26,아침에
,원명,오전 10:26,스타벅스에서 과일 컵 하나 사먹었어요
,엄마,오전 10:26,화장실을 못 가 배에 가스가 차면 어지럽고 속도 미식거려
,엄마,오전 10:27,과일 먹어서 괜찮았어??
,원명,오전 11:04,네 괜찮아요
,엄마,오전 11:05,다행이네
,엄마,오전 11:05,저녁에 죽 먹어야 하면 아빠한테 문자 드려 줘
,엄마,오전 11:05,퇴근하실때 사가지고 오시라고
,엄마,오전 11:06,울아들~화이팅!!!!
,엄마,오후 6:37,끝나면 연락해 줭
,엄마,오후 5:08,아들~학원 끝나면 엄마한테 연락줭(뽀뽀)
,원명,오후 5:54,네~~
,원명,오후 9:22,엄마
,원명,오후 7:37,도시락을 놓고 왔어요
,원명,오후 7:37,엄마
,원명,오후 7:37,ㅠㅠ
,엄마,오후 9:02,괜찮아.
,원명,오전 8:28,다른 거 입고가요~~
,원명,오전 8:28,괜찮아요
,원명,오전 8:28,🥰
,엄마,오전 8:29,그래
,엄마,오전 8:29,오늘 발표 잘 하고(뽀뽀)
,원명,오후 7:11,지하철 사람이 많아요
,엄마,오후 7:12,엄마 약속 캔슬 
,엄마,오후 7:12,어디쯤?
,원명,오후 7:12,길음이요
,엄마,오후 7:13,갈매역
,엄마,오후 7:14,노원역 도착하면 연락줘
,엄마,오전 10:11,아들~
,원명,오후 1:19,엄마도 점심 맛있게 먹어요
,엄마,오후 4:05,그래~^^
,원명,오후 6:13,그냥 집에서 있는거에 먹어요
,엄마,오후 6:19,컨디션 다운이야?
,엄마,오후 6:41,삼겹살 먹을래?
,엄마,오후 6:18,어디야?
,엄마,오후 6:18,퇴근중 
,엄마,오후 9:01,지금 퇴근중 
,엄마,오후 9:02,돈까스 김밥 간식
,원명,오후 9:04,네
,엄마,오전 8:10,아들$$
,엄마,오전 8:10,샌드위치 도시락 반찬통에 들어 있는데...
,엄마,오전 8:11,잊지 말고 먹어
,엄마,오전 8:12,아들~오늘도 화이팅 (반함)
,원명,오전 8:13,먹었어요
,원명,오전 8:14,이모티콘
,엄마,오후 10:18,사진
